Date,Open,High,Low,Close,Volume,Adj Close
2016-12-20,119.50,119.769997,118.800003,119.089996,13528100,119.089996
2016-12-19,119.849998,120.360001,118.510002,119.239998,15841700,119.239998
2016-12-16,120.900002,121.50,119.269997,119.870003,25174600,119.870003
2016-12-15,120.080002,122.50,119.629997,120.57,20102900,120.57
2016-12-14,120.00,121.690002,118.849998,120.209999,25667800,120.209999
2016-12-13,117.860001,121.519997,117.610001,120.309998,29558100,120.309998
2016-12-12,119.220001,119.239998,117.650002,117.769997,17769700,117.769997
2016-12-09,119.220001,119.940002,118.949997,119.68,17436000,119.68
2016-12-08,117.980003,119.50,117.639999,118.910004,22404200,118.910004
2016-12-07,117.00,117.949997,116.57,117.949997,21855600,117.949997
2016-12-06,117.690002,117.800003,116.330002,117.309998,19048500,117.309998
2016-12-05,115.949997,117.57,115.07,117.43,20095200,117.43
2016-12-02,115.110001,116.480003,114.300003,115.400002,25015200,115.400002
2016-12-01,118.379997,118.449997,114.00,115.099998,43209700,115.099998
2016-11-30,120.32,121.790001,117.949997,118.419998,30035600,118.419998
2016-11-29,120.57,122.099998,120.400002,120.870003,18846600,120.870003
2016-11-28,120.120003,121.690002,119.82,120.410004,18073300,120.410004
2016-11-25,121.010002,121.139999,120.07,120.379997,8638400,120.379997
2016-11-23,121.230003,121.309998,119.940002,120.839996,15592400,120.839996
2016-11-22,122.400002,122.980003,120.900002,121.470001,25992700,121.470001
2016-11-21,118.199997,121.949997,117.800003,121.769997,35288000,121.769997
2016-11-18,118.389999,119.129997,116.839996,117.019997,22051700,117.019997
2016-11-17,116.809998,117.790001,116.010002,117.790001,18556200,117.790001
2016-11-16,114.480003,117.879997,114.209999,116.339996,32345400,116.339996
2016-11-15,116.730003,118.489998,115.830002,117.199997,33270700,117.199997
2016-11-14,119.129997,119.129997,113.550003,115.080002,51247400,115.080002
2016-11-11,119.529999,120.699997,118.150002,119.019997,32804000,119.019997
2016-11-10,123.93,124.18,115.269997,120.800003,67822800,120.800003
2016-11-09,121.50,123.809998,120.510002,123.18,31856100,123.18
2016-11-08,122.029999,124.610001,121.540001,124.220001,19367800,124.220001
2016-11-07,122.830002,123.209999,121.349998,122.150002,23008900,122.150002
2016-11-04,119.589996,121.93,119.25,120.75,30545500,120.75
2016-11-03,122.00,123.279999,119.50,120.00,63766300,120.00
2016-11-02,130.229996,130.229996,126.279999,127.169998,39640900,127.169998
2016-11-01,131.410004,131.940002,128.649994,129.50,22077800,129.50
2016-10-31,132.009995,132.119995,130.880005,130.990005,15669000,130.990005
2016-10-28,130.50,132.970001,129.929993,131.289993,24545500,131.289993
2016-10-27,131.740005,131.800003,129.270004,129.690002,16741400,129.690002
2016-10-26,131.639999,132.259995,130.940002,131.039993,13084700,131.039993
2016-10-25,133.50,133.50,132.220001,132.289993,13336800,132.289993
2016-10-24,132.720001,133.410004,132.149994,133.279999,17470200,133.279999
2016-10-21,129.779999,132.130005,129.699997,132.070007,19088800,132.070007
2016-10-20,130.070007,130.660004,129.50,130.00,13167500,130.00
2016-10-19,128.740005,130.470001,128.600006,130.110001,16752300,130.110001
2016-10-18,128.679993,129.389999,128.009995,128.570007,13504000,128.570007
2016-10-17,128.199997,128.470001,127.32,127.540001,11351700,127.540001
2016-10-14,128.490005,128.949997,127.580002,127.879997,13345300,127.879997
2016-10-13,128.210007,128.25,126.75,127.82,17139300,127.82
2016-10-12,129.009995,129.660004,128.460007,129.050003,11073000,129.050003
2016-10-11,130.229996,130.639999,128.229996,128.880005,17537900,128.880005
2016-10-10,129.679993,130.699997,129.199997,130.240005,15138700,130.240005
2016-10-07,129.039993,129.25,128.330002,128.990005,12804400,128.990005
2016-10-06,128.429993,129.059998,128.080002,128.740005,11682700,128.740005
2016-10-05,128.25,128.800003,127.830002,128.470001,12386800,128.470001
2016-10-04,129.169998,129.279999,127.550003,128.190002,14307500,128.190002
2016-10-03,128.380005,129.089996,127.800003,128.770004,13156900,128.770004
2016-09-30,128.029999,128.589996,127.449997,128.270004,18402900,128.270004
2016-09-29,129.179993,129.289993,127.550003,128.089996,14532200,128.089996
2016-09-28,129.210007,129.470001,128.399994,129.229996,12047600,129.229996
2016-09-27,127.610001,129.009995,127.43,128.690002,15637100,128.690002
2016-09-26,127.370003,128.160004,126.800003,127.309998,15064900,127.309998
2016-09-23,127.559998,128.600006,127.300003,127.959999,28326300,127.959999
2016-09-22,130.50,130.729996,129.559998,130.080002,15538300,130.080002
2016-09-21,129.130005,130.009995,128.389999,129.940002,14068300,129.940002
2016-09-20,128.649994,129.169998,128.029999,128.639999,11083800,128.639999
2016-09-19,129.910004,129.940002,128.259995,128.649994,14958800,128.649994
2016-09-16,128.199997,129.179993,128.199997,129.070007,24119200,129.070007
2016-09-15,127.980003,129.100006,127.669998,128.350006,15077200,128.350006
2016-09-14,126.889999,128.800003,126.889999,127.769997,15691100,127.769997
2016-09-13,128.029999,128.350006,126.660004,127.209999,18016200,127.209999
2016-09-12,125.959999,128.759995,125.75,128.690002,21252800,128.690002
2016-09-09,129.710007,129.949997,127.099998,127.099998,27100700,127.099998
2016-09-08,130.919998,131.080002,129.809998,130.270004,15676600,130.270004
2016-09-07,130.039993,131.979996,129.949997,131.050003,27990800,131.050003
2016-09-06,126.669998,129.940002,126.470001,129.729996,26278400,129.729996
2016-09-02,126.849998,126.860001,126.00,126.510002,12118800,126.510002
2016-09-01,126.379997,126.629997,125.599998,126.169998,13536100,126.169998
2016-08-31,125.599998,126.220001,125.099998,126.120003,14200600,126.120003
2016-08-30,126.599998,126.599998,125.150002,125.839996,17804300,125.839996
2016-08-29,124.349998,126.730003,124.349998,126.540001,15925900,126.540001
2016-08-26,124.050003,125.190002,123.910004,124.959999,17504800,124.959999
2016-08-25,123.120003,124.370003,123.099998,123.889999,10730800,123.889999
2016-08-24,124.470001,124.690002,123.089996,123.480003,12243700,123.480003
2016-08-23,124.510002,125.089996,124.25,124.370003,13309500,124.370003
2016-08-22,123.330002,124.830002,123.110001,124.150002,14386400,124.150002
2016-08-19,123.599998,124.160004,123.279999,123.559998,11688300,123.559998
2016-08-18,124.010002,124.260002,123.639999,123.910004,12400800,123.910004
2016-08-17,123.660004,124.379997,122.849998,124.370003,13794200,124.370003
2016-08-16,123.50,123.919998,122.779999,123.300003,14222400,123.300003
2016-08-15,124.910004,124.919998,123.699997,123.900002,19295100,123.900002
2016-08-12,124.699997,125.00,124.18,124.879997,12159000,124.879997
2016-08-11,125.199997,125.379997,124.75,124.900002,11729500,124.900002
2016-08-10,125.07,125.480003,124.540001,124.879997,10670100,124.879997
2016-08-09,125.339996,126.089996,124.529999,125.059998,19621000,125.059998
2016-08-08,125.25,125.449997,124.550003,125.260002,15233900,125.260002
2016-08-05,124.980003,125.839996,124.620003,125.150002,20184000,125.150002
2016-08-04,122.940002,124.790001,122.510002,124.360001,21066000,124.360001
2016-08-03,123.089996,123.919998,122.309998,122.510002,18525300,122.510002
2016-08-02,124.059998,124.800003,122.07,123.089996,23968400,123.089996
2016-08-01,123.849998,124.580002,122.860001,124.309998,25006900,124.309998
2016-07-29,124.650002,125.839996,123.709999,123.940002,35058800,123.940002
2016-07-28,127.519997,128.330002,123.629997,125.00,78955800,125.00
2016-07-27,122.419998,125.00,121.510002,123.339996,52654200,123.339996
2016-07-26,122.00,122.07,120.75,121.220001,17612000,121.220001
2016-07-25,121.389999,121.849998,117.779999,121.629997,18487400,121.629997
2016-07-22,119.900002,121.010002,119.309998,121.00,18422400,121.00
2016-07-21,121.919998,122.099998,120.25,120.610001,17801700,120.610001
2016-07-20,121.25,122.199997,120.559998,121.919998,20046500,121.919998
2016-07-19,118.989998,120.849998,118.660004,120.610001,21541300,120.610001
